Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Melzer J.,Ginepri R.,Ginepri R.,55,18,675,1495,3.0,1.36,1-6 4-6 2-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Serra F.,Ferrer D.,14,37,1635,863,1.8,1.9,4-6 6-3 6-1 6-4
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Schuettler R.,Burgsmuller L.,Burgsmuller L.,87,143,463,295,1.57,2.25,6-3 3-6 6-7 3-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Bracciali D.,Lu Y.H.,Bracciali D.,80,161,498,256,1.72,2.0,6-1 7-6 6-2
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Vicente F.,Hernych J.,Hernych J.,106,90,400,455,4.0,1.22,6-2 3-6 6-7 2-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Stepanek R.,Rehnquist B.,Stepanek R.,20,368,1440,83,1.07,7.0,6-1 6-2 6-2
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Gremelmayr D.,Gremelmayr D.,66,177,578,218,1.25,3.75,6-3 2-6 0-6 1-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Nalbandian D.,Udomchoke D.,Nalbandian D.,4,121,2370,370,1.04,9.0,6-2 6-2 1-6 6-7 6-1
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Montanes A.,Wawrinka S.,Wawrinka S.,72,46,536,735,6.0,1.11,6-4 2-6 3-6 0-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Gimelstob J.,Baghdatis M.,54,115,684,383,1.36,3.0,7-6 7-5 6-0
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Kimmich M.,Nieminen J.,Nieminen J.,313,24,103,1230,8.5,1.05,2-6 3-6 1-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Calleri A.,Ancic M.,21,52,1390,692,1.28,3.5,6-4 4-6 6-3 6-4
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Moya C.,Pavel A.,Pavel A.,35,82,885,485,1.25,3.75,4-6 6-7 6-4 6-3 4-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Moodie W.,Hernandez O.,Moodie W.,60,113,603,385,1.07,7.5,3-6 7-6 6-4 6-2
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Waske A.,Faurel J.C.,Faurel J.C.,122,203,368,183,1.44,2.62,6-7 3-6 6-7
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Dent T.,Garcia-Lopez G.,110,31,393,920,5.0,1.14,7-6 6-3 7-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Dlouhy L.,Kohlschreiber P.,Kohlschreiber P.,96,79,428,500,2.62,1.44,5-7 2-6 4-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Guccione C.,Ljubicic I.,8,148,2180,283,1.08,7.0,7-6 6-4 7-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Reynolds B.,Berdych T.,Berdych T.,92,23,442,1250,6.0,1.11,5-7 3-6 7-6 1-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Behrend T.,Lopez F.,33,88,900,461,1.1,6.5,6-2 7-5 6-3
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Spadea V.,Santoro F.,Santoro F.,73,65,515,580,2.2,1.61,6-3 0-6 2-6 3-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Vanek J.,Robredo T.,19,97,1490,425,1.12,5.5,6-4 7-6 6-3
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Massu N.,Simon G.,Simon G.,61,123,600,365,1.39,2.87,6-7 2-6 6-3 6-4 3-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Blake J.,Acasuso J.,Blake J.,22,45,1390,768,1.08,7.0,6-2 6-3 4-6 7-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Malisse X.,Malisse X.,42,39,795,836,1.9,1.8,5-7 7-5 4-6 2-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Saulnier C.,Johansson T.,13,89,1645,460,1.16,4.5,6-1 7-6 6-4
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Henman T.,Tursunov D.,Tursunov D.,36,53,870,690,1.83,1.83,7-5 3-6 4-6 5-7
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Mello R.,Muller G.,71,131,538,323,1.28,3.5,5-7 6-2 6-7 7-6 6-0
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Lammer M.,Roddick A.,Roddick A.,220,3,163,3085,15.0,1.01,4-6 2-6 2-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Istomin D.,Federer R.,1,195,6725,198,1.0,2.1,6-2 6-3 6-2
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Hanescu V.,Coria G.,Coria G.,38,9,856,2175,4.0,1.22,4-6 6-1 6-4 2-6 1-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Horna L.,Monfils G.,Horna L.,81,27,492,1129,4.5,1.16,6-4 7-5 6-1
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Marach O.,Hrbaty D.,Hrbaty D.,125,15,360,1540,7.5,1.07,6-3 6-4 2-6 1-6 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Goldstein P.,Goldstein P.,76,68,502,567,1.39,2.75,2-6 6-1 3-6 2-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Luczak P.,Minar I.,Luczak P.,139,102,304,413,1.57,2.25,7-6 7-6 6-4
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Fleishman Z.,Norman D.,Norman D.,236,104,150,404,2.0,1.72,4-6 6-7 7-5 6-0 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Rochus O.,Llodra M.,Rochus O.,29,141,1045,298,1.16,4.5,6-4 6-2 6-2
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Berlocq C.,Phau B.,Phau B.,75,91,504,454,3.39,1.3,4-6 6-7 6-2 6-7
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kim K.,Levy H.,Kim K.,99,218,416,165,1.9,1.8,6-4 6-4 6-0
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Haas T.,Haas T.,16,41,1511,825,2.62,1.44,2-6 5-7 2-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Karlovic I.,Davydenko N.,5,67,2355,575,1.33,3.0,7-5 4-6 3-6 7-5 6-3
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Andreev I.,Andreev I.,111,26,392,1215,4.33,1.19,5-7 4-6 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Pashanski B.,Arthurs W.,Pashanski B.,77,100,502,416,2.62,1.44,6-3 6-4 4-6 7-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Lisnard J.R.,Monaco J.,Monaco J.,109,85,393,477,2.5,1.5,6-4 2-6 4-6 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Chela J.I.,Murray A.,Chela J.I.,51,62,695,593,2.37,1.53,6-1 6-3 6-3
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Vik R.,Hewitt L.,Hewitt L.,58,6,612,2330,7.5,1.07,4-6 6-2 7-5 6-7 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Delic A.,Starace P.,Delic A.,173,105,224,403,2.2,1.61,7-5 6-7 6-3 3-6 6-3
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Lee H.T.,Mayer F.,Mayer F.,112,69,386,544,2.62,1.44,4-6 1-6 6-4 4-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Vliegen K.,Rochus C.,Vliegen K.,84,43,481,795,1.5,2.5,6-3 6-1 6-4
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Srichaphan P.,Kiefer N.,Kiefer N.,50,25,705,1215,2.37,1.53,7-6 6-4 6-7 1-6 2-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Tipsarevic J.,Seppi A.,Tipsarevic J.,137,56,309,672,3.0,1.36,1-6 6-4 4-6 6-2 6-4
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Ascione T.,Mirnyi M.,Mirnyi M.,93,34,440,890,3.5,1.28,3-6 6-3 1-6 7-6 0-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Sanguinetti D.,Adaktusson J.,Sanguinetti D.,44,265,779,133,1.16,4.5,7-6 6-3 6-2
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Clement A.,Mathieu P.H.,Mathieu P.H.,64,48,583,713,1.72,2.0,3-6 6-7 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Bogomolov A.,Gonzalez F.,Bogomolov A.,202,12,184,1655,7.0,1.08,4-6 7-6 6-3 6-7 7-5
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Snobel P.,Sluiter R.,Sluiter R.,217,103,167,407,2.75,1.44,4-6 6-2 2-6 4-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Carlsen K.,Verdasco F.,30,63,925,590,1.28,3.5,7-6 6-4 6-4
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Zib T.,Ferrero J.C.,Ferrero J.C.,70,17,544,1500,4.33,1.19,5-7 0-6 2-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Philippoussis M.,Grosjean S.,28,165,1080,243,1.36,3.0,6-4 6-2 6-3
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Kohlschreiber P.,Ljubicic I.,Ljubicic I.,79,8,500,2180,6.0,1.11,5-7 2-6 1-6
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Gremelmayr D.,Ginepri R.,Gremelmayr D.,177,18,218,1495,7.5,1.07,2-6 5-7 6-4 6-3 6-3
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Stepanek R.,Baghdatis M.,Baghdatis M.,20,54,1440,684,1.53,2.37,4-6 3-6 6-3 6-0 5-7
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Gaudio G.,Burgsmuller L.,Gaudio G.,10,143,2050,295,1.22,4.0,6-3 6-2 6-3
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Bracciali D.,Ferrer D.,Ferrer D.,80,14,498,1635,3.5,1.28,4-6 4-6 7-6 2-6
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Santoro F.,Pavel A.,Santoro F.,65,82,580,485,1.57,2.25,6-4 6-1 6-4
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Garcia-Lopez G.,Benneteau J.,Benneteau J.,110,162,393,255,1.5,2.5,4-6 6-7 1-6
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Ancic M.,Hernych J.,Ancic M.,21,90,1390,455,1.19,4.33,6-1 6-4 6-4
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Wang Y.T.,Nieminen J.,Nieminen J.,98,24,423,1230,5.5,1.12,2-6 6-7 2-6
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Lopez F.,Muller G.,Lopez F.,33,71,900,538,1.53,2.37,6-2 6-4 6-7 6-4
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Faurel J.C.,Blake J.,Blake J.,203,22,183,1390,8.0,1.06,6-2 1-6 4-6 3-6
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Roddick A.,Moodie W.,Roddick A.,3,60,3085,603,1.06,8.0,7-5 6-3 6-2
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Berdych T.,Simon G.,Simon G.,23,123,1250,365,1.14,5.0,3-6 2-6 6-4 2-6
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Robredo T.,Tursunov D.,Robredo T.,19,53,1490,690,2.0,1.72,7-6 3-6 7-6 6-3
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Malisse X.,Johansson T.,Johansson T.,39,13,836,1645,2.1,1.66,3-6 6-3 5-7 6-4 3-6
Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Nalbandian D.,Wawrinka S.,Nalbandian D.,4,46,2370,735,1.19,4.33,6-4 3-6 6-4 6-2
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Rochus O.,Luczak P.,Luczak P.,29,139,1045,304,1.22,4.0,7-6 4-6 1-6 7-6 1-6
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Davydenko N.,Kim K.,Davydenko N.,5,99,2355,416,1.08,7.0,4-6 6-0 6-3 6-2
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Verdasco F.,Vliegen K.,Vliegen K.,30,84,925,481,1.66,2.1,6-3 2-6 6-7 5-7
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Mirnyi M.,Sanguinetti D.,Mirnyi M.,34,44,890,779,1.61,2.2,7-5 6-3 4-6 7-6
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Sluiter R.,Andreev I.,Andreev I.,103,26,407,1215,4.0,1.22,6-3 3-6 6-7 6-2 2-6
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Coria G.,Luzzi F.,Coria G.,9,186,2175,209,1.12,5.5,7-6 6-4 6-3
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Norman D.,Hrbaty D.,Hrbaty D.,104,15,404,1540,6.5,1.1,2-6 5-7 7-5 6-4 8-10
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Mayer F.,Federer R.,1,69,6725,544,1.01,12.0,6-1 6-4 6-0
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Monaco J.,Grosjean S.,Grosjean S.,85,28,477,1080,5.0,1.14,4-6 3-6 3-6
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Kiefer N.,Pashanski B.,Kiefer N.,25,77,1215,502,1.14,5.0,4-6 6-1 6-4 6-1
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Phau B.,Horna L.,Horna L.,91,81,454,492,2.37,1.53,3-6 2-6 1-6
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Healey N.,Delic A.,Healey N.,240,173,148,224,2.2,1.61,6-4 6-7 6-3 6-4
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Tipsarevic J.,Ferrero J.C.,Ferrero J.C.,137,17,309,1500,4.0,1.22,3-6 6-3 7-5 3-6 2-6
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Mathieu P.H.,Bogomolov A.,Mathieu P.H.,48,202,713,184,1.39,2.75,6-0 7-6 6-2
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Goldstein P.,Haas T.,Haas T.,68,41,567,825,6.5,1.1,0-6 1-6 2-6
Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Chela J.I.,Hewitt L.,Chela J.I.,51,6,695,2330,3.25,1.33,6-4 6-4 6-7 6-2
Australian Open,2006-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Gaudio G.,Santoro F.,Santoro F.,10,65,2050,580,1.53,2.37,3-6 2-6 7-5 6-1 4-6
Australian Open,2006-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Ferrer D.,Ancic M.,Ferrer D.,14,21,1635,1390,2.75,1.39,6-3 6-3 6-3
Australian Open,2006-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Gremelmayr D.,Baghdatis M.,Baghdatis M.,177,54,218,684,3.75,1.25,2-6 1-6 2-6
Australian Open,2006-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Roddick A.,Benneteau J.,Roddick A.,3,162,3085,255,1.03,11.0,6-1 6-2 6-2
Australian Open,2006-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Nieminen J.,Nalbandian D.,Nalbandian D.,24,4,1230,2370,2.62,1.44,6-2 3-6 2-6 5-7
Australian Open,2006-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Johansson T.,Simon G.,Johansson T.,13,123,1645,365,1.33,3.25,6-3 6-2 6-1
Australian Open,2006-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Lopez F.,Ljubicic I.,Ljubicic I.,33,8,900,2180,3.75,1.25,5-7 6-7 0-6
Australian Open,2006-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Robredo T.,Blake J.,Robredo T.,19,22,1490,1390,3.25,1.33,6-3 6-4 6-4
Australian Open,2006-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Horna L.,Mathieu P.H.,Mathieu P.H.,81,48,492,713,2.2,1.61,6-7 6-7 1-6
Australian Open,2006-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Grosjean S.,Coria G.,Grosjean S.,28,9,1080,2175,1.61,2.2,6-2 6-2 3-6 6-4
Australian Open,2006-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Andreev I.,Hrbaty D.,Hrbaty D.,26,15,1215,1540,1.83,1.83,6-1 4-6 3-6 6-2 4-6
Australian Open,2006-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Chela J.I.,Vliegen K.,Chela J.I.,51,84,695,481,1.44,2.62,6-1 6-4 6-4
Australian Open,2006-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Luczak P.,Haas T.,Haas T.,139,41,304,825,6.0,1.11,6-4 3-6 4-6 4-6
Australian Open,2006-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Kiefer N.,Ferrero J.C.,Kiefer N.,25,17,1215,1500,1.9,1.8,6-3 6-2 5-7 6-2
Australian Open,2006-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Healey N.,Davydenko N.,Davydenko N.,240,5,148,2355,8.0,1.06,2-6 7-5 4-6 5-7
Australian Open,2006-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Mirnyi M.,Federer R.,1,34,6725,890,1.01,13.0,6-3 6-4 6-3
Australian Open,2006-01-22,Grand Slam,Outdoor,Hard,4th Round,5,Roddick A.,Baghdatis M.,Baghdatis M.,3,54,3085,684,1.14,5.0,4-6 6-1 3-6 4-6
Australian Open,2006-01-22,Grand Slam,Outdoor,Hard,4th Round,5,Nalbandian D.,Robredo T.,Nalbandian D.,4,19,2370,1490,1.36,3.0,6-3 6-0 2-6 6-2
Australian Open,2006-01-22,Grand Slam,Outdoor,Hard,4th Round,5,Ferrer D.,Santoro F.,Santoro F.,14,65,1635,580,1.36,3.0,4-6 5-7 5-7
Australian Open,2006-01-22,Grand Slam,Outdoor,Hard,4th Round,5,Ljubicic I.,Johansson T.,Ljubicic I.,8,13,2180,1645,1.44,2.62,6-2 6-4 6-4
Australian Open,2006-01-23,Grand Slam,Outdoor,Hard,4th Round,5,Chela J.I.,Kiefer N.,Kiefer N.,51,25,695,1215,2.2,1.61,6-7 3-6 3-6
Australian Open,2006-01-23,Grand Slam,Outdoor,Hard,4th Round,5,Davydenko N.,Hrbaty D.,Davydenko N.,5,15,2355,1540,1.44,2.62,4-6 4-6 6-4 6-2 6-3
Australian Open,2006-01-23,Grand Slam,Outdoor,Hard,4th Round,5,Mathieu P.H.,Grosjean S.,Grosjean S.,48,28,713,1080,2.62,1.44,5-7 2-6 2-6
Australian Open,2006-01-23,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Haas T.,Federer R.,1,41,6725,825,1.04,9.0,6-4 6-0 3-6 4-6 6-2
Australian Open,2006-01-24,Grand Slam,Outdoor,Hard,Quarterfinals,5,Santoro F.,Nalbandian D.,Nalbandian D.,65,4,580,2370,5.0,1.16,5-7 0-6 0-6
Australian Open,2006-01-24,Grand Slam,Outdoor,Hard,Quarterfinals,5,Baghdatis M.,Ljubicic I.,Baghdatis M.,54,8,684,2180,3.0,1.39,6-4 6-2 4-6 3-6 6-3
Australian Open,2006-01-25,Grand Slam,Outdoor,Hard,Quarterfinals,5,Grosjean S.,Kiefer N.,Kiefer N.,28,25,1080,1215,2.0,1.8,3-6 6-0 4-6 7-6 6-8
Australian Open,2006-01-25,Grand Slam,Outdoor,Hard,Quarterfinals,5,Federer R.,Davydenko N.,Federer R.,1,5,6725,2355,1.03,12.0,6-4 3-6 7-6 7-6
Australian Open,2006-01-26,Grand Slam,Outdoor,Hard,Semifinals,5,Nalbandian D.,Baghdatis M.,Baghdatis M.,4,54,2370,684,1.39,3.0,6-3 7-5 3-6 4-6 4-6
Australian Open,2006-01-27,Grand Slam,Outdoor,Hard,Semifinals,5,Federer R.,Kiefer N.,Federer R.,1,25,6725,1215,1.05,10.0,6-3 5-7 6-0 6-2
Australian Open,2006-01-29,Grand Slam,Outdoor,Hard,The Final,5,Baghdatis M.,Federer R.,Federer R.,54,1,684,6725,6.5,1.11,7-5 5-7 0-6 2-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Bjorkman J.,Johansson T.,Bjorkman J.,59,21,638,1330,2.37,1.53,3-6 7-6 6-1 6-1
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Serra F.,Dlouhy L.,Dlouhy L.,36,84,860,475,1.19,4.33,6-4 3-6 4-6 5-7
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Nalbandian D.,Moodie W.,Nalbandian D.,3,73,3360,561,1.08,7.0,6-3 6-4 6-1
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Almagro N.,Ancic M.,Ancic M.,47,10,818,1885,9.0,1.05,6-7 5-7 6-7
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Clement A.,Portas A.,Clement A.,57,115,662,386,1.06,8.0,6-3 6-2 6-4
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Marach O.,Wang Y.T.,Wang Y.T.,96,99,433,431,4.0,1.22,1-6 6-7 0-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Sanguinetti D.,Kim K.,Sanguinetti D.,69,108,585,403,2.1,1.66,6-3 7-6 6-1
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Pless K.,Blake J.,Blake J.,139,7,311,2085,9.0,1.04,3-6 5-7 7-5 4-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Ferrero J.C.,Vicente F.,Ferrero J.C.,28,100,1130,430,1.14,5.0,6-1 6-3 6-2
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Schuettler R.,Karanusic R.,Karanusic R.,82,163,483,253,1.83,1.83,6-7 6-4 2-6 1-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Santoro F.,Arthurs W.,Santoro F.,45,187,822,216,1.57,2.25,7-6 6-3 3-6 6-1
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Hernych J.,Berdych T.,Berdych T.,93,14,448,1635,3.5,1.28,3-6 4-6 5-7
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Youzhny M.,Starace P.,Youzhny M.,41,76,830,539,1.12,5.5,6-0 6-4 6-1
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Monfils G.,Kunitsyn I.,Kunitsyn I.,23,105,1285,406,1.16,4.5,7-5 6-7 3-6 4-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Henman T.,Soderling R.,Henman T.,64,37,615,858,1.5,2.5,6-7 6-3 6-2 1-6 6-3
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Novak J.,Vliegen K.,Vliegen K.,110,34,400,927,2.75,1.39,4-6 5-7 2-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Calleri A.,Srichaphan P.,Calleri A.,58,38,652,845,4.33,1.19,6-7 7-5 6-3 3-6 6-2
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Gasquet R.,Federer R.,Federer R.,50,1,760,7260,9.0,1.05,3-6 2-6 2-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Philippoussis M.,Mathieu P.H.,Philippoussis M.,210,35,184,920,1.57,2.25,5-7 7-6 6-3 7-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Karlovic I.,Wawrinka S.,Wawrinka S.,60,67,631,598,1.22,4.0,6-7 6-3 2-6 7-6 9-11
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Malisse X.,Dorsch B.,Malisse X.,43,181,826,222,1.14,5.0,6-2 7-5 6-2
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Goldstein P.,Djokovic N.,Djokovic N.,65,39,611,841,2.75,1.39,3-6 2-6 6-7
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Stepanek R.,Dancevic F.,Stepanek R.,13,125,1710,361,1.25,3.75,7-6 6-3 6-4
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Melzer J.,Mahut N.,Mahut N.,78,77,505,530,1.57,2.25,7-6 5-7 1-6 4-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Mirnyi M.,Ramirez-Hidalgo R.,Mirnyi M.,53,62,710,625,1.08,7.0,6-7 6-4 6-3 6-3
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Chela J.I.,Becker B.,Becker B.,48,161,815,256,2.1,1.66,3-6 6-3 3-6 4-6
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Bloomfield R.,Berlocq C.,Bloomfield R.,259,89,140,456,1.14,5.0,6-1 6-2 6-2
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Vanek J.,Haas T.,Haas T.,92,24,449,1250,8.0,1.06,6-7 5-7 4-6
